Nama SPKLU,Latitude,Longitude
SPKLU PLN UP3 DUMAI,1.6697311,101.4446661
SPKLU PLN UP3 JAMBI,-1.6082261,103.5916169
SPKLU PLN UP3 LANGSA,4.4710082,97.9685138
SPKLU PLN UP3 LHOKSEUMAWE,5.1690655,97.133772
SPKLU PLN UP3 LUBUK PAKAM,3.5468234,98.862724
SPKLU PLN UP3 MUARA BUNGO,-1.4863998,102.1156625
SPKLU PLN UP3 NIAS GUNUNG SITOLI,1.2898642,97.6135946
SPKLU PLN UP3 OGAN ILIR,-3.2047897,104.6565584
SPKLU PLN UP3 PADANG,-0.9072435,100.3504732
SPKLU PLN UP3 PADANGSIDIMPUAN,1.4037473,99.2766078
SPKLU PLN UP3 PAYAKUMBUH,-0.2247507,100.6309208
SPKLU PLN UP3 PEMATANGSIANTAR,2.9575407,99.0558017
SPKLU PLN UP3 SIBOLGA,1.7441612,98.7769815
SPKLU PLN UP3 SIGLI,5.3802128,95.9553342
SPKLU PLN UP3 SOLOK,-0.7998607,100.6501907
SPKLU PLN UP3 SUBULUSSALAM,2.6379344,98.0095338
SPKLU PLN UP3 TANJUNG KARANG,-5.4239303,105.2554698
SPKLU PLN UPDL TUNTUNGAN,3.4943976,98.5913653
SPKLU PLN Universitas Negeri Padang,-0.8973635,100.3498225
SPKLU PLN WARONG ESSY,-1.2211096,101.7396662
SPKLU PLN ZILA CAFE,-1.0533502,100.747882
SPKLU PONGEK OR,-0.2668056,100.6124708
SPKLU POSKO YANTEK BELILAS,-0.5117062,103.0896861
SPKLU REST AREA 56B TOL Palembang - Prabumulih,-3.4391683,104.4583396
SPKLU REST AREA KM 67 A Tol Bakauheni-Terbanggi Besar,-5.4253245,105.3979867
SPKLU REST AREA KM 67 B Tol Bakauheni-Terbanggi Besar,-5.4245784,105.3982669
SPKLU RUMAH BUMN JAMBI,-1.61158,103.6159484
SPKLU Rest Area 163-A Lampung Tengah,-4.6822626,105.1914741
SPKLU Rest Area KM 172-B Tulang Bawang Barat,-4.6042168,105.1815767
SPKLU Rest Area KM 208 A Tol Terpeka,-4.2973576,105.1586303
