Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP Muratara,"Lawang Agung, Kec. Rupit, Kab. Musi Rawas Utara, Sumatera Selatan",Buka 24 Jam,0.00,283.30 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:15:40
SPKLU PLN UP3 TELUKNAGA,"JL. Raya Mauk, Sepatan, Tangerang, Banten, 15520, Indonesia",Buka 24 Jam,5.00,828.72 km,2/2 Konektor Tersedia,"('7 kW', '22 kW')","(1, 1)",2025-05-15 11:17:49
SPKLU KANTOR DINAS ESDM,"Jl. Angkatan 45 No.2440, Palembang, Sumatera Selatan",Buka 24 Jam,0.00,439.55 km,1/1 Konektor Tersedia,"('7 kW',)","(1,)",2025-05-15 10:25:39
SPKLU PLN UP3 TANJUNGPINANG,"Jalan Bakar Batu, Kelurahan Kemboja, Kecamatan Tanjung Pinang Barat Kota Tanjungpinang Provinsi Kepulauan Riau",Buka 24 Jam,4.64,338.37 km,2/2 Konektor Tersedia,"('22 kW', '4 kW')","(1, 1)",2025-05-15 10:17:34
SPKLU PLN KP RIMBO DATA,"Tanjuang Balik, Kec. Pangkalan Koto Baru, Kabupaten Lima Puluh Kota, Sumatera Barat 26272",Buka 24 Jam,0.00,124.86 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 09:58:07
SPKLU PLN ULP BALIGE,"Jl. Dr. T.D. Pardede No.14, Kec. Balige, Toba, Sumatera Utara 22312",Buka 24 Jam,5.00,424.44 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 10:22:38
SPKLU REST AREA KM 306 PALEMBANG,Ruas Tol Terbangi Besar - Pematang Panggang  - Kayu Agung,Buka 24 Jam,4.48,495.49 km,3/3 Konektor Tersedia,"('22 kW', 'A CCS2', 'B CCS2')","(1, 1, 1)",2025-05-15 10:33:34
SPKLU PLN Kantor Jaga Sijuk,"Jl. Sekolah RT 002 RW 001 Desa Sijuk, Kabupaten Belitung, Kepulauan Bangka Belitung 33414",Buka 24 Jam,0.00,714.17 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:59:25
SPKLU HOTEL BUNDA BUKITTINGGI,"Jl. Ahmad Karim No.17, Benteng Ps. Atas, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136",Buka 24 Jam,4.75,150.72 km,1/1 Konektor Tersedia,"('4 kW',)","(1,)",2025-05-15 10:01:55
SPKLU PLN UP3 PEMATANGSIANTAR,"Jl. Kapten M.H. Sitorus No.1, Proklamasi, Kec. Siantar Bar., Kota Pematang Siantar, Sumatera Utara 21117",Buka 24 Jam,4.76,476.60 km,4/4 Konektor Tersedia,"('30 kW', '30 kW', '100 kW', '100 kW')","(1, 1, 1, 1)",2025-05-15 10:32:13
SPKLU PLN JAGA JEBUS,"Jl. Raya jebus Dn. Tambang 6, Ds. Mislak Kec. Jebus Kab. Bangka Barat",Buka 24 Jam,5.00,440.44 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:27:01
SPKLU PLN ULP LUBUK LINGGAU,"Jl. Yos Sudarso No.5,  Kota Lubuk Linggau, Sumatera Selatan",Buka 24 Jam,5.00,342.12 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 10:18:04
SPKLU KAMPUS UNAND 2 PYK,"Jl. Rangkayo Rasuna Said, Kubu Gadang, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,5.00,121.57 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 09:56:58
SPKLU PLN UP3 CIKOKOL,"Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15118",Buka 24 Jam,4.83,839.98 km,4/4 Konektor Tersedia,"('7 kW', '7 kW', '100 kW', '100 kW')","(1, 1, 1, 1)",2025-05-15 11:29:23
SPKLU Pasar 8 Suvarna Sutera,"Perumahan Suvarna Sutera, Jl. Suvarna Utama No.33A, Wana Kerta, Kec. Sindang Jaya, Kabupaten Tangerang, Banten",Buka 24 Jam,4.68,829.02 km,1/2 Konektor Tersedia,"('22 kW', '25 kW')","(1, 0)",2025-05-15 11:18:36
SPKLU Eco Business Park,Jl. Imam Bonjol No. 8 Bojong Jaya Kec. Karawaci Kota Tangerang,Buka 24 Jam,4.83,840.01 km,3/3 Konektor Tersedia,"('22 kW', '7 kW', '7 kW')","(1, 1, 1)",2025-05-15 11:29:55
SPKLU IDD PIK 2,"IDD (Indonesia Design District) PIK 2, Jl M.H. Thamrin No.61 Blok T2 Unit 52, Salembaran, Kec. Kosambi, Kabupaten Tangerang, Banten 15214",Buka 24 Jam,4.54,833.41 km,3/3 Konektor Tersedia,"('22 kW', '25 kW', '25 kW')","(1, 1, 1)",2025-05-15 11:22:36
SPKLU PLN ULP Bagan Siapi Api,"Jl. Pahlawan, Bagan Tim., Kec. Bangko, Kabupaten Rokan Hilir",Buka 24 Jam,0.00,302.43 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-15 10:15:52
SPKLU PLN ULP PANGURURAN,"Jl. Kejaksan, Kabupaten Samosir, Sumatera Utara 22392",Buka 24 Jam,5.00,474.53 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 10:31:23
SPKLU PLN ULP IDI,"JL. Medan - Banda Aceh, Gp. Tanoh Anou, Kab. Aceh Timur, Idi Rayeuk, Aceh, 24454",Buka 24 Jam,5.00,737.45 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 11:00:58
SPKLU PLN UP3 BANGKA,"Jl. Jendral Sudirman No.180, Selindung Baru, Kec. Gabek, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33172",Buka 24 Jam,5.00,523.15 km,2/2 Konektor Tersedia,(),(),2025-05-15 10:35:33
SPKLU Rest Area KM 215 B Tol Terpeka,"Rest Area KM 208 A Tol Terpeka, Bakauheni - Kayu Agung Rd, Mulya Sari, Gunung Agung, West Tulang Bawang Regency, Lampung 34684",Buka 24 Jam,4.25,569.26 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:47:10
