Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU REST AREA KM 67 A Tol Bakauheni-Terbanggi Besar,"SPKLU REST AREA KM 67 A Tol Bakauheni-Terbanggi Besar,Serdang, Kec. Tj. Bintang, Kabupaten Lampung Selatan, Lampung 35361",Buka 24 Jam,0.0,688.29 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:25:04
SPKLU PLN ULP LABUHAN,"Jl. KL. Yos Sudarso, M A B A R, Kec. Medan Deli, Kota Medan, Sumatera Utara 20242",Buka 24 Jam,5.0,565.12 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:15:02
SPKLU PLN ULP MUARA DUA,"Jl. Ahmad Yani No.102, Bumi Agung, Kec. Muara Dua, Kabupaten Ogan Komering Ulu Selatan, Sumatera Selatan 32211",Buka 24 Jam,0.0,525.83 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:04:22
SPKLU PLN UP3 SOLOK,"Jl. Prof Dr Hamka, Kota Solok, Sumatera Barat",Buka 24 Jam,4.84,125.71 km,3/3 Konektor Tersedia,"('22 kW', '25 kW', '25 kW')","(1, 1, 1)",2025-05-14 20:27:40
SPKLU PLN ULP BINTUHAN,"Jalan Padang Genteng, Kaur Selatan, Kab. Kaur, Bengkulu 38963",Buka 24 Jam,4.33,516.67 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:02:06
SPKLU PLN ULP PERAWANG,"Jl. Moh. Ali, Perawang Bar., Kec. Tualang, Kabupaten Siak, Riau",Buka 24 Jam,0.0,121.23 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-14 20:24:43
SPKLU PLN ULP PASIR PANGARAIAN,"Jl. Koperasi No.3, Pasir Pengaraian, Rambah Tengah Utara, Kabupaten Rokan Hulu, Riau",Buka 24 Jam,5.0,212.44 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-14 20:38:57
SPKLU ASTON LAMPUNG CITY HOTEL,"Jl. Gatot Subroto No.81, Garuntang, Kec. Telukbetung Selatan, Kota Bandar Lampung, Lampung 35228",Buka 24 Jam,4.83,681.90 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-14 21:23:24
SPKLU PLN ULP INDARUNG,"Jl. Padang - Bengkulu, Batung Taba Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25154",Buka 24 Jam,5.0,159.17 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:31:40
SPKLU PLN ULP SEI RAMPAH,"Jl. Medan - Tebing Tinggi No.300, Firdaus, Kec. Sei Rampah, Kabupaten Serdang Bedagai, Sumatera Utara 20995",Buka 24 Jam,0.0,519.59 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:02:23
SPKLU PLN UP3 SIBOLGA,"Jl. Dr. Ferdinand Lumban Tobing No.20, Huta Tonga Tonga, Kec. Sibolga Utara, Kota Sibolga, Sumatera Utara 22512",Buka 24 Jam,5.0,405.21 km,2/2 Konektor Tersedia,"('22 kW', '30 kW')","(1, 1)",2025-05-14 20:48:57
SPKLU PLN KP RIMBO DATA,"Tanjuang Balik, Kec. Pangkalan Koto Baru, Kabupaten Lima Puluh Kota, Sumatera Barat 26272",Buka 24 Jam,0.0,124.86 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:26:50
SPKLU PLN ULP PEMATANGSIANTAR,"Jl. Kapten M.H. Sitorus No.1, Proklamasi, Kec. Siantar Bar., Kota Pematang Siantar, Sumatera Utara 21117",Buka 24 Jam,5.0,476.46 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:59:22
SPKLU SWISS-BELHOTEL JAMBI,"Jl. Prof. Dr Jl. Sumantri Brojonegoro No.1, Solok Sipin, Kecamatan Danau Sipin, Kota Jambi, Jambi 36121",Buka 24 Jam,4.33,247.18 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:41:37
SPKLU TANG AIA CAFE & RESTO,"Jl. Lintas Sumatera Tengah Nagari Kunangan Parit Rantang, Kamang Baru, Kabupaten Sijunjung, Sumatera Barat",Buka 24 Jam,5.0,66.51 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:17:04
SPKLU PLN ULP PERDAGANGAN,"Jl. Rajamin Purba, Perdagangan I, Kec. Bandar, Kabupaten Simalungun, Sumatera Utara 21184",Buka 24 Jam,0.0,476.98 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:00:07
SPKLU PLN ULP SAROLANGUN,"Jl. Abdul Manaf No.60, Ps. Sarolangun, Kec. Sarolangun, Kabupaten Sarolangun, Jambi",Buka 24 Jam,5.0,236.14 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:40:47
SPKLU REST AREA 56B TOL Palembang - Prabumulih,"Ruas TOL Palembang - Prabumulih, Kabupaten Ogan Ilir, Sumatera Selatan",Buka 24 Jam,3.0,452.24 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:56:40
SPKLU TRANSMART PEKANBARU B,"Jl. Musyawarah No.11, Labuh Baru Tim., Kec. Payung Sekaki, Kota Pekanbaru, Riau 28292",Buka 24 Jam,4.0,107.32 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:21:26
SPKLU PLN ULP BALAI SELASA,"Jl. Lintas Barat Sumatera, Pelangai, Kec. Ranah Pesisir, Kabupaten Pesisir Selatan, Sumatera Barat 25661",Buka 24 Jam,5.0,180.84 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:36:12
SPKLU PLN HOME SMART MEDAN,"Jl. Gatot Subroto No.102, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118",Buka 24 Jam,4.75,559.42 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-14 21:13:37
SPKLU PLN ULP MEDAN BARU,"Jl. Sei Batu Gingging Ps. X, Merdeka, Kec. Medan Baru, Kota Medan, Sumatera Utara 20154",Buka 24 Jam,4.95,557.67 km,2/2 Konektor Tersedia,"('7 kW', '22 kW')","(1, 1)",2025-05-14 21:11:31
SPKLU MALL BOEMI KEDATON,"Jl. Teuku Umar No.1, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35132",Buka 24 Jam,3.63,675.22 km,1/2 Konektor Tersedia,"('25 kW', '22 kW')","(0, 1)",2025-05-14 21:21:30
SPKLU HOTEL MARRIOTT RESORT LAMPUNG,"Jl. Pantai Mutun, Hurun, Kec. Padang Cermin, Kabupaten Pesawaran, Lampung",Buka 24 Jam,1.67,687.80 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-14 21:24:35
SPKLU PLN ICON + SBU SBT,"Jl. Soekarno - Hatta, Sidomulyo Tim., Kota Pekanbaru, Riau",Buka 24 Jam,3.17,102.14 km,1/1 Konektor Tersedia,"('30 kW',)","(1,)",2025-05-14 20:19:50
SPKLU CityView Medan,"Jl. Komodor Muda Adi Sucipto, Suka Damai, Kec. Medan Polonia, Kota Medan, Sumatera Utara",Buka 24 Jam,4.26,554.68 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-14 21:09:07
SPKLU PLN UP3 LUBUK PAKAM,"Jl. Medan - Tebing Tinggi, Perbarakan, Kec. Pagar Merbau, Kabupaten Deli Serdang, Sumatera Utara 20551",Buka 24 Jam,4.98,541.44 km,2/2 Konektor Tersedia,"('22 kW', '25 kW')","(1, 1)",2025-05-14 21:07:50
SPKLU PLN ULP MUARA AMAN,"Jalan Pangeran Zainal Abidin , Kab. Lebong, Bengkulu",Buka 24 Jam,0.0,303.93 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:45:10
SPKLU MALL PELAYANAN PUBLIK JAMBI,"Jalan Paal Lima, Kota Baru, Kota Jambi",Buka 24 Jam,5.0,249.05 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:42:47
SPKLU PLN UP3 JAMBI,"Jl. Urip Sumoharjo No. 02, Telanaipura, Kota Jambi",Buka 24 Jam,4.92,246.57 km,4/4 Konektor Tersedia,"('22 kW', '60 kW', '60 kW', '22 kW')","(1, 1, 1, 1)",2025-05-14 20:41:09
SPKLU PLN UP3 PADANGSIDIMPUAN,"Jl. Raja Inal Siregar No.11A, Batunadua Jae, Kec. Padangsidimpuan Batunadua, Kota Padang Sidempuan, Sumatera Utara 22733",Buka 24 Jam,5.0,338.11 km,2/2 Konektor Tersedia,"('30 kW', '22 kW')","(1, 1)",2025-05-14 20:46:24
SPKLU PLN ULP SRIBAWONO,"Jl. Raya No.93, Mataram Baru, Kec. Mataram Baru, Kabupaten Lampung Timur, Lampung 34199",Buka 24 Jam,3.0,700.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:25:21
SPKLU KOLAM RENANG KELOK SIKABU,"Kelok Sikabu, Koto Tuo, Kec. Iv Koto, Kabupaten Agam, Sumatera Barat 26161",Buka 24 Jam,0.0,153.44 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:31:02
SPKLU HOTEL SIBAYAK BERASTAGI,"Jl. Merdeka, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22156",Buka 24 Jam,4.79,536.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:07:18
SPKLU PLAZA ANDALAS,"Jalan Pemuda ( Plaza Andalas Lt.2 No.11 Kel, Jl. Blk. Olo, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat",Buka 24 Jam,0.0,162.53 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:34:30
SPKLU PLN ULP BIREUEN,"Jalan Medan - Banda Aceh Cot Gapu, Geulanggang Baro, Kec. Kota Juang, Kabupaten Bireuen, Aceh 24261",Buka 24 Jam,3.29,834.10 km,2/2 Konektor Tersedia,"('50 kW', '50 kW')","(1, 1)",2025-05-14 21:51:15
SPKLU Rest Area KM 45 A Pekanbaru - Dumai,"Jl. Tol Pekanbaru - Dumai KM 45 A, Kandis, Kec. Kandis, Kabupaten Siak, Riau 26868",Buka 24 Jam,4.95,159.51 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-14 20:31:58
SPKLU HOTEL HOLIDAY INN LAMPUNG BUKIT RANDU,"Jl. Kamboja No.1, RW.2, Kb. Jeruk, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35121",Buka 24 Jam,4.2,678.18 km,2/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 1)",2025-05-14 21:22:19
SPKLU PLN ULP UJUNG BATU,"Jl. Raya Ujung Batu - Bonai Darussalam, Ngaso, Kec. Ujung Batu, Kabupaten Rokan Hulu, Riau",Buka 24 Jam,5.0,181.86 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:36:23
SPKLU PLN BANDARA MINANG KABAU,"Jl. Katapiang, Kec. Batang Anai, Kabupaten Padang Pariaman, Sumatera Barat 25586 (P7)",Buka 24 Jam,5.0,164.36 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:34:58
SPKLU PLN ULP TEBING TINGGI,"Jl Sekip, Kupang, Kec. Tebing Tinggi, Kab. Empat Lawang, Sumatera Selatan",Buka 24 Jam,5.0,381.96 km,1/1 Konektor Tersedia,(),(),2025-05-14 20:48:16
SPKLU Rest Area KM 36 B Bangkinang - Pekanbaru,"Jl. Tol Pekanbaru - Bangkinang KM 36 B, Muara Jalai, Kec. Bangkinang, Kabupaten Kampar, Riau 21184",Buka 24 Jam,1.0,118.21 km,0/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(0, 0, 0)",2025-05-14 20:23:35
SPKLU PLN ULP SINABANG,"Suka Karya, Simeulue Timur, Simeulue Regency, Aceh 24782",Buka 24 Jam,0.0,675.80 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:21:42
SPKLU Kantor ULP Talang Padang,"Jl. Raden Intan No.76, Suka Merindu, Kec. Talang Padang, Kabupaten Tanggamus, Lampung 35377",Buka 24 Jam,5.0,644.11 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:18:30
SPKLU PLN ULP KOTANOPAN,"Jl. Lintas Medan, Padang Bulan, Kec. Kotanopan, Kabupaten Mandailing Natal, Sumatera Utara 22994",Buka 24 Jam,5.0,251.73 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:43:39
SPKLU MASJID H. ALIUS,"Koto Gaek Guguak, Kec. Gn. Talang, Kabupaten Solok, Sumatera Barat 27365",Buka 24 Jam,5.0,136.08 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:28:40
SPKLU PLN ULP TAKENGON,"Jl. Lebe Kader No.89, Simpang Empat, Kec. Bebesen, Kabupaten Aceh Tengah, Aceh",Buka 24 Jam,4.0,778.51 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-14 21:32:24
SPKLU PLN PADANG ARO,"Jl. Bangun Rejo, Lubuk Gadang Sel., Kec. Sangir, Kabupaten Solok Selatan, Sumatera Barat 27778",Buka 24 Jam,0.0,136.54 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:28:52
SPKLU PLN ULP SUNGAI PENUH,"Jl. RE Martadinata No.1 Kota Sungai Penuh, Jambi",Buka 24 Jam,3.5,185.25 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:37:08
SPKLU PLN ULP LUBUK BASUNG,"Lubuk Basung, Kec. Lubuk Basung, Kabupaten Agam, Sumatera Barat 26452",Buka 24 Jam,0.0,187.83 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:37:18
SPKLU KAMPUS UNAND 2 PYK,"Jl. Rangkayo Rasuna Said, Kubu Gadang, Kec. Payakumbuh Utara, Kota Payakumbuh, Sumatera Barat 26218",Buka 24 Jam,5.0,121.58 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:25:40
SPKLU Rest Area KM 87 A Tol Bakauheni-Terbanggi Besar,"Rest Area KM 87 A Tol Bakauheni-Terbanggi Besar, Fajar Baru, Kec. Jati Agung, Kabupaten Lampung Selatan, Lampung",Buka 24 Jam,4.94,670.17 km,3/3 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 21:20:29
SPKLU PLN ULP SICINCIN,"Jl. Raya Padang - Bukittinggi Utara PLN No.km.46, Sicincin, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat",Buka 24 Jam,5.0,160.98 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-14 20:33:15
